episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
42,710.0,642,26174,0.2,0.0530750252015423,82.23246158397524,True,False
43,270.0,400,26574,0.2,0.053052302170544866,83.4329342089768,True,False
44,340.0,434,27008,0.2,0.05310215360972039,84.67759604199091,True,False
45,660.0,793,27801,0.2,0.0622692237081326,86.99872791700182,True,False
46,870.0,846,28647,0.2,0.05246285214949558,89.62864499998977,True,False
47,1040.0,649,29296,0.2,0.05173956282276866,91.52337062498555,True,False
48,1030.0,677,29973,0.2,0.058851200370834425,93.66109929198865,True,False
49,1420.0,836,30809,0.2,0.05497056356314837,96.10880283400184,True,False
50,480.0,445,31254,0.2,0.055404253631226114,97.40694783398067,True,False
51,590.0,541,31795,0.2,0.05853773639709861,100.11883762499201,True,False
52,670.0,608,32403,0.2,0.05734884192076463,101.96779587498168,True,False
53,320.0,412,32815,0.2,0.060023366817209906,103.34804787498433,True,False
54,600.0,671,33486,0.2,0.06367608770406583,107.61317174998112,True,False
55,430.0,590,34076,0.2,0.06818619041980521,110.15297808399191,True,False
56,1040.0,922,34998,0.2,0.06279908706150625,112.81543891699403,True,False
57,1340.0,719,35717,0.2,0.06794585323789054,114.95158620897564,True,False
58,1150.0,837,36554,0.2,0.07077497701075944,117.34291599999415,True,False
59,1030.0,1376,37930,0.2,0.06327133085768194,121.43260791699868,True,False
60,990.0,745,38675,0.2,0.061569745812605145,123.7242625419749,True,False
61,290.0,371,39046,0.2,0.07190203012758366,124.82698833398172,True,False
62,720.0,600,39646,0.2,0.06287309449786942,126.59369749997859,True,False
63,980.0,738,40384,0.2,0.06477244177682175,129.45490670899744,True,False
64,360.0,509,40893,0.2,0.07374880547217262,131.2882643339981,True,False
65,1060.0,511,41404,0.2,0.06713109913107473,132.81015154198394,True,False
66,900.0,556,41960,0.2,0.06961382121490918,136.1588067499979,True,False
67,1090.0,826,42786,0.2,0.06889281373977371,138.56179074998363,True,False
68,650.0,622,43408,0.2,0.07425990116854127,140.30620758398436,True,False
69,1320.0,965,44373,0.2,0.06858408946884,142.99671216699062,True,False
70,1040.0,621,44994,0.2,0.06717046751610695,144.76340499997605,True,False
71,1310.0,615,45609,0.2,0.0724133927217842,146.53676487499615,True,False
72,1380.0,765,46374,0.2,0.06348651006856826,148.7633595840016,True,False
73,600.0,526,46900,0.2,0.06450875603001226,150.26820658397628,True,False
74,310.0,329,47229,0.2,0.06895407305167216,151.22137983399443,True,False
75,520.0,634,47863,0.2,0.07595635467810155,153.01483699999517,True,False
76,2110.0,665,48528,0.2,0.06890355708066397,158.16349624999566,True,False
77,790.0,601,49129,0.2,0.06976561181247234,159.87983337498736,True,False
78,1260.0,769,49898,0.2,0.06645898189647899,162.06948462498258,True,False
79,340.0,555,50453,0.2,0.07225290458086583,163.92483708399232,True,False
80,1370.0,804,51257,0.2,0.07293796160290787,166.35785124998074,True,False
81,630.0,570,51827,0.2,0.06945658251512009,168.37222133399337,True,False
82,530.0,477,52304,0.2,0.07177467091629902,169.9567163749889,True,False
